#Example    Fitness:         Number Of Shifts

1           0             12
2           0             12
3           0             12
4           0             12
5           0             12
6           0             12
7           0             12
8           0             12
9           0             12
10           0             12
11           0             16
12           0             16
13           0             16
14           0             16
15           0             16
16           0             16
17           0             16
18           0             16
19           0             16
20           0             16
21           0             20
22           0             20
23           0             20
24           0             20
25           0             20
26           0             20
27           0             20
28           0             20
29           0             20
30           0             20
